neighborhood,sq_miles_2014,TreeSurvey_Count_2015,TreesPerSqMile
park-cemetery-etc-Brooklyn,6.75,1948.0,288.5925925925926
Seagate-Coney Island,1.33,1494.0,1123.3082706766916
Gravesend,1.1500000000000001,1411.0,1226.9565217391303
West Brighton,0.31999999999999995,487.0,1521.8750000000002
Starrett City,0.44999999999999996,692.0,1537.7777777777778
East Williamsburg,1.4000000000000004,2319.0,1656.428571428571
Sunset Park West,1.9100000000000008,3255.0,1704.188481675392
Canarsie,3.040000000000001,5991.0,1970.7236842105258
Brighton Beach,0.63,1248.0,1980.952380952381
Bath Beach,0.7700000000000001,1745.0,2266.233766233766
East New York,4.1899999999999995,9603.0,2291.8854415274463
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2.2499999999999996,5246.0,2331.555555555556
East Flatbush-Farragut,1.2400000000000004,2894.0,2333.8709677419347
Bensonhurst West,1.660000000000001,4246.0,2557.8313253012034
Bensonhurst East,1.2900000000000005,3356.0,2601.5503875968984
Carroll Gardens-Columbia Street-Red Hook,1.6400000000000003,4316.0,2631.70731707317
Greenpoint,1.26,3370.0,2674.6031746031745
Brownsville,1.1700000000000002,3130.0,2675.213675213675
Erasmus,0.52,1395.0,2682.6923076923076
Prospect Lefferts Gardens-Wingate,1.1200000000000003,3052.0,2724.999999999999
Georgetown-Marine Park-Bergen Beach-Mill Basin,2.61,7188.0,2754.0229885057474
Bay Ridge,2.450000000000001,6906.0,2818.7755102040805
Rugby-Remsen Village,1.1600000000000004,3316.0,2858.6206896551716
Flatlands,1.950000000000001,5587.0,2865.1282051282037
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.9900000000000004,2985.0,3015.1515151515136
Borough Park,1.950000000000001,5947.0,3049.743589743588
Dyker Heights,1.0600000000000005,3244.0,3060.377358490565
Bedford,1.1600000000000001,3702.0,3191.379310344827
Ocean Hill,0.73,2339.0,3204.109589041096
Bushwick South,1.4100000000000006,4522.0,3207.092198581559
Sunset Park East,0.9700000000000002,3201.0,3299.9999999999995
North Side-South Side,1.03,3467.0,3366.019417475728
Crown Heights South,0.5800000000000001,1981.0,3415.51724137931
Crown Heights North,1.840000000000001,6410.0,3483.695652173911
Stuyvesant Heights,1.1100000000000005,3879.0,3494.5945945945928
Fort Greene,0.5800000000000001,2046.0,3527.586206896551
Madison,0.9900000000000003,3565.0,3601.0101010101
Cypress Hills-City Line,0.9800000000000002,3531.0,3603.061224489795
Flatbush,1.6300000000000001,5925.0,3634.969325153374
Midwood,1.3000000000000007,4861.0,3739.2307692307672
Homecrest,1.0700000000000003,4238.0,3960.747663551401
Kensington-Ocean Parkway,0.5700000000000001,2259.0,3963.1578947368416
Ocean Parkway South,0.6400000000000001,2545.0,3976.562499999999
Park Slope-Gowanus,1.5200000000000007,6105.0,4016.4473684210507
Bushwick North,0.8500000000000002,3420.0,4023.529411764705
Clinton Hill,0.7300000000000002,2957.0,4050.684931506848
Williamsburg,0.39999999999999997,1643.0,4107.5
Windsor Terrace,0.5,2085.0,4170.0
East New York (Pennsylvania Ave),0.7000000000000002,2956.0,4222.857142857142
Prospect Heights,0.36,1533.0,4258.333333333334
Brooklyn Heights-Cobble Hill,0.37,1735.0,4689.189189189189
