Borough ,Precinct,Crashes ,Bicyclist Injuries ,Bicyclist Fatalities
Manhattan ,1,6,5,0
Manhattan ,5,9,8,0
Manhattan ,6,4,4,0
Manhattan ,7,7,5,0
Manhattan ,9,4,3,0
Manhattan ,10,2,2,0
Manhattan ,13,4,4,0
Manhattan ,14,7,6,0
Manhattan ,17,0,0,0
Manhattan ,18,10,6,0
Manhattan ,19,15,12,0
Manhattan ,20,2,1,0
Manhattan ,22,61,49,0
Manhattan ,23,1,1,0
Manhattan ,24,6,5,0
Manhattan ,25,1,1,0
Manhattan ,26,1,1,0
Manhattan ,28,0,0,0
Manhattan ,30,4,4,0
Manhattan ,32,0,0,0
Manhattan ,33,1,1,0
Manhattan ,34,4,4,0
Bronx ,40,2,2,0
Bronx ,41,3,3,0
Bronx ,42,1,2,0
Bronx ,43,3,2,0
Bronx ,44,0,0,0
Bronx ,45,1,1,0
Bronx ,46,6,6,0
Bronx ,47,0,0,0
Bronx ,48,1,1,0
Bronx ,49,0,1,0
Bronx ,50,0,0,0
Bronx ,52,4,3,0
Brooklyn ,60,2,2,0
Brooklyn ,61,1,1,0
Brooklyn ,62,0,0,0
Brooklyn ,63,1,1,0
Brooklyn ,66,4,4,0
Brooklyn ,67,1,1,0
Brooklyn ,68,1,1,0
Brooklyn ,69,0,0,0
Brooklyn ,70,3,3,0
Brooklyn ,71,2,2,0
Brooklyn ,72,3,3,0
Brooklyn ,73,0,0,0
Brooklyn ,75,4,3,1
Brooklyn ,76,1,1,0
Brooklyn ,77,3,3,0
Brooklyn ,78,11,11,0
Brooklyn ,79,7,6,0
Brooklyn ,81,0,0,0
Brooklyn ,83,2,2,0
Brooklyn ,84,10,7,0
Brooklyn ,88,3,3,0
Brooklyn ,90,3,1,0
Brooklyn ,94,5,5,0
Queens ,100,3,3,0
Queens ,101,2,1,0
Queens ,102,1,1,0
Queens ,103,1,1,0
Queens ,104,1,1,0
Queens ,105,0,0,0
Queens ,106,1,2,0
Queens ,107,1,1,0
Queens ,108,3,3,0
Queens ,109,6,5,0
Queens ,110,5,5,0
Queens ,111,2,2,0
Queens ,112,1,1,0
Queens ,113,1,1,0
Queens ,114,4,2,0
Queens ,115,3,4,0
Staten Island ,120,0,0,0
Staten Island ,122,0,0,0
Staten Island ,123,0,0,0
