Precinct,Population
,76876
78,6174
67,119415
75,183884
60,118428
111,116852
108,466067
52,47761
69,74892
107,225197
10,24021
40,7588
123,69418
71,89468
34,31164
66,63174
41,8224
47,29294
83,137994
102,549414
101,68898
68,21256
112,118150
26,37434
13,113049
24,93854
20,25869
94,29847
100,61749
109,244824
103,274119
49,50318
113,353229
5,36021
62,99646
77,68913
63,85616
9,40351
90,48554
120,59904
33,54290
42,29847
76,13589
32,73341
23,42941
30,76936
79,14239
81,23819
104,253933
14,37503
48,7801
122,138434
6,39438
72,2540
43,40077
73,64344
44,56197
115,418801
17,112765
1,51877
105,301772
45,20639
28,44352
110,247843
25,16985
18,64030
61,110900
88,38032
46,61911
84,24269
50,37490
106,312364
114,707045
19,90301
7,35032
70,132550
